voltage, time
0.26025,0
0.3345,0.0085561
0.31275,0.017112
0.29413,0.025668
0.28937,0.034225
0.33725,0.042781
0.33325,0.051337
0.32512,0.059893
0.33475,0.068449
0.28737,0.077005
0.28925,0.085561
0.33313,0.094118
0.33013,0.10267
0.31788,0.11123
0.293,0.11979
0.32375,0.12834
0.33125,0.1369
0.29625,0.14545
0.28625,0.15401
0.31512,0.16257
0.28863,0.17112
0.32625,0.17968
0.31975,0.18824
0.32362,0.19679
0.3185,0.20535
0.2965,0.2139
0.23688,0.22246
0.31425,0.23102
0.32525,0.23957
0.33075,0.24813
0.31675,0.25668
0.3045,0.26524
0.32362,0.2738
0.35013,0.28235
0.38025,0.29091
0.38338,0.29947
0.383,0.30802
0.38775,0.31658
0.382,0.32513
0.34175,0.33369
0.36912,0.34225
0.3805,0.3508
0.34,0.35936
0.34763,0.36791
0.37688,0.37647
0.36462,0.38503
0.3435,0.39358
0.34675,0.40214
0.3255,0.4107
0.33,0.41925
0.33725,0.42781
0.37475,0.43636
0.40337,0.44492
0.39837,0.45348
0.406,0.46203
0.34475,0.47059
0.33325,0.47914
0.39475,0.4877
0.38512,0.49626
0.38675,0.50481
0.38388,0.51337
0.35237,0.52193
0.38775,0.53048
0.33363,0.53904
0.33937,0.54759
0.39313,0.55615
0.37862,0.56471
0.32788,0.57326
0.35175,0.58182
0.36325,0.59037
0.38225,0.59893
0.36725,0.60749
0.34113,0.61604
0.34113,0.6246
0.34725,0.63316
0.3655,0.64171
0.3315,0.65027
0.3725,0.65882
0.39075,0.66738
0.38375,0.67594
0.34963,0.68449
0.38125,0.69305
0.32212,0.7016
0.30288,0.71016
0.29325,0.71872
0.33987,0.72727
0.32937,0.73583
0.3175,0.74439
0.28563,0.75294
0.23175,0.7615
0.26225,0.77005
0.24575,0.77861
0.24463,0.78717
0.26663,0.79572
0.29113,0.80428
0.25712,0.81283
0.27237,0.82139
0.373,0.82995
0.39825,0.8385
0.34375,0.84706
0.34363,0.85561
0.30838,0.86417
0.28663,0.87273
0.26863,0.88128
0.26575,0.88984
0.26375,0.8984
0.26725,0.90695
0.25875,0.91551
0.26375,0.92406
0.25162,0.93262
0.25562,0.94118
0.25325,0.94973
0.24813,0.95829
0.24225,0.96684
0.24013,0.9754
0.23688,0.98396
0.23588,0.99251
0.24238,1.0011
0.23925,1.0096
0.23775,1.0182
0.24163,1.0267
0.23187,1.0353
0.2335,1.0439
0.23287,1.0524
0.23513,1.061
0.23275,1.0695
0.23312,1.0781
0.23925,1.0866
0.23675,1.0952
0.23675,1.1037
0.23375,1.1123
0.24175,1.1209
0.23888,1.1294
0.24625,1.138
0.24875,1.1465
0.2445,1.1551
0.2425,1.1636
0.23212,1.1722
0.22787,1.1807
0.22512,1.1893
0.21438,1.1979
0.21413,1.2064
0.21713,1.215
0.20287,1.2235
0.19787,1.2321
0.19112,1.2406
0.188,1.2492
0.21788,1.2578
0.29875,1.2663
0.27775,1.2749
0.2895,1.2834
0.33225,1.292
0.29537,1.3005
0.3715,1.3091
0.40863,1.3176
0.37325,1.3262
0.423,1.3348
0.42462,1.3433
0.44588,1.3519
0.39875,1.3604
0.35713,1.369
0.357,1.3775
0.4005,1.3861
0.38688,1.3947
0.35113,1.4032
0.37562,1.4118
0.36362,1.4203
0.41075,1.4289
0.39587,1.4374
0.50625,1.446
0.48187,1.4545
0.46425,1.4631
0.4405,1.4717
0.47625,1.4802
0.56925,1.4888
0.54438,1.4973
0.591,1.5059
0.7,1.5144
0.69875,1.523
0.41325,1.5316
0.397,1.5401
0.60225,1.5487
0.67425,1.5572
0.32675,1.5658
0.33237,1.5743
0.30812,1.5829
0.32325,1.5914
0.62662,1.6
0.43925,1.6086
0.27813,1.6171
0.235,1.6257
0.25725,1.6342
0.23638,1.6428
0.23025,1.6513
0.2235,1.6599
0.22937,1.6684
0.22225,1.677
0.21987,1.6856
0.22687,1.6941
0.21463,1.7027
0.2175,1.7112
0.20575,1.7198
0.19737,1.7283
0.21975,1.7369
0.20913,1.7455
0.212,1.754
0.21713,1.7626
0.17688,1.7711
0.17825,1.7797
0.17975,1.7882
0.17863,1.7968
0.171,1.8053
0.17425,1.8139
0.168,1.8225
0.17037,1.831
0.16725,1.8396
0.169,1.8481
0.168,1.8567
0.16937,1.8652
0.167,1.8738
0.174,1.8824
0.161,1.8909
0.18975,1.8995
0.17813,1.908
0.17137,1.9166
0.18,1.9251
0.19462,1.9337
0.19537,1.9422
0.18238,1.9508
0.17938,1.9594
0.18762,1.9679
0.1925,1.9765
0.2055,1.985
0.21188,1.9936
0.21525,2.0021
0.18263,2.0107
0.188,2.0193
0.18812,2.0278
0.1995,2.0364
0.18488,2.0449
0.19012,2.0535
0.21463,2.062
0.19262,2.0706
0.21,2.0791
0.21338,2.0877
0.2055,2.0963
0.19962,2.1048
0.21725,2.1134
0.219,2.1219
0.20137,2.1305
0.19425,2.139
0.19925,2.1476
0.1925,2.1561
0.1985,2.1647
0.19187,2.1733
0.21188,2.1818
0.19925,2.1904
0.19325,2.1989
0.209,2.2075
0.19587,2.216
0.21075,2.2246
0.22575,2.2332
0.21838,2.2417
0.20863,2.2503
0.20037,2.2588
0.19962,2.2674
0.19575,2.2759
0.21175,2.2845
0.2205,2.293
0.20938,2.3016
0.20162,2.3102
0.22237,2.3187
0.22125,2.3273
0.19462,2.3358
0.19187,2.3444
0.22087,2.3529
0.22387,2.3615
0.19475,2.3701
0.20125,2.3786
0.20187,2.3872
0.21388,2.3957
0.2145,2.4043
0.22212,2.4128
0.21388,2.4214
0.20325,2.4299
0.1945,2.4385
0.204,2.4471
0.20725,2.4556
0.21887,2.4642
0.216,2.4727
0.20137,2.4813
0.21987,2.4898
0.21463,2.4984
0.202,2.507
0.19437,2.5155
0.20375,2.5241
0.19675,2.5326
0.19675,2.5412
0.1915,2.5497
0.19037,2.5583
0.20463,2.5668
0.2045,2.5754
0.19812,2.584
0.19825,2.5925
0.21288,2.6011
0.1895,2.6096
0.20062,2.6182
0.19025,2.6267
0.19525,2.6353
0.2085,2.6439
0.19725,2.6524
0.20525,2.661
0.19412,2.6695
0.20538,2.6781
0.21463,2.6866
0.19087,2.6952
0.19575,2.7037
0.2185,2.7123
0.21413,2.7209
0.218,2.7294
0.21375,2.738
0.20925,2.7465
0.19987,2.7551
0.208,2.7636
0.19737,2.7722
0.20575,2.7807
0.19825,2.7893
0.2155,2.7979
0.221,2.8064
0.20287,2.815
0.21475,2.8235
0.194,2.8321
0.19362,2.8406
0.20413,2.8492
0.21438,2.8578
0.21887,2.8663
0.21825,2.8749
0.203,2.8834
0.21375,2.892
0.20788,2.9005
0.19712,2.9091
0.2005,2.9176
0.193,2.9262
0.21313,2.9348
0.20388,2.9433
0.19962,2.9519
0.2135,2.9604
0.19112,2.969
0.19787,2.9775
0.21638,2.9861
0.21063,2.9947
0.21425,3.0032
0.206,3.0118
0.21887,3.0203
0.2155,3.0289
0.21738,3.0374
0.21213,3.046
0.218,3.0545
0.21338,3.0631
0.1945,3.0717
0.20563,3.0802
0.215,3.0888
0.22212,3.0973
0.215,3.1059
0.2215,3.1144
0.1965,3.123
0.20688,3.1316
0.20588,3.1401
0.215,3.1487
0.21013,3.1572
0.224,3.1658
0.219,3.1743
0.223,3.1829
0.22137,3.1914
0.21788,3.2
0.20875,3.2086
0.22037,3.2171
0.2205,3.2257
0.21413,3.2342
0.22125,3.2428
0.21912,3.2513
0.1985,3.2599
0.19412,3.2684
0.2115,3.277
0.22262,3.2856
0.20775,3.2941
0.21875,3.3027
0.21825,3.3112
0.20663,3.3198
0.19775,3.3283
0.19762,3.3369
0.20075,3.3455
0.19875,3.354
0.20663,3.3626
0.20175,3.3711
0.20212,3.3797
0.22125,3.3882
0.21275,3.3968
0.22162,3.4053
0.19662,3.4139
0.20788,3.4225
0.22225,3.431
0.21863,3.4396
0.22112,3.4481
0.21613,3.4567
0.22175,3.4652
0.20888,3.4738
0.22187,3.4824
0.2195,3.4909
0.21125,3.4995
0.22187,3.508
0.20825,3.5166
0.20212,3.5251
0.22225,3.5337
0.21513,3.5422
0.215,3.5508
0.2075,3.5594
0.21488,3.5679
0.20162,3.5765
0.21425,3.585
0.22525,3.5936
0.20925,3.6021
0.21813,3.6107
0.21025,3.6193
0.19987,3.6278
0.224,3.6364
0.22112,3.6449
0.21575,3.6535
0.22337,3.662
0.215,3.6706
0.2,3.6791
0.19937,3.6877
0.21213,3.6963
0.20262,3.7048
0.20037,3.7134
0.21425,3.7219
0.20563,3.7305
0.20438,3.739
0.219,3.7476
0.21375,3.7561
0.22137,3.7647
0.1985,3.7733
0.20112,3.7818
