voltage, time
1.7639,0
1.8966,0.0048514
1.9099,0.0097029
1.9041,0.014554
1.9014,0.019406
1.9314,0.024257
1.9303,0.029109
1.9051,0.03396
1.8904,0.038811
1.915,0.043663
1.9109,0.048514
1.8914,0.053366
1.8802,0.058217
1.8958,0.063069
1.8959,0.06792
1.8755,0.072771
1.8707,0.077623
1.8662,0.082474
1.8627,0.087326
1.8685,0.092177
1.8607,0.097029
1.8328,0.10188
1.8487,0.10673
1.8551,0.11158
1.8549,0.11643
1.8436,0.12129
1.8276,0.12614
1.836,0.13099
1.8256,0.13584
1.8199,0.14069
1.7939,0.14554
1.8225,0.15039
1.8095,0.15525
1.8014,0.1601
1.785,0.16495
1.808,0.1698
1.7956,0.17465
1.7862,0.1795
1.7783,0.18435
1.7862,0.18921
1.7768,0.19406
1.7775,0.19891
1.7763,0.20376
1.776,0.20861
1.7751,0.21346
1.7924,0.21831
1.788,0.22317
1.768,0.22802
1.7657,0.23287
1.7861,0.23772
1.7771,0.24257
1.7684,0.24742
1.7879,0.25227
1.8084,0.25713
1.8202,0.26198
1.8342,0.26683
1.8384,0.27168
1.8484,0.27653
1.8679,0.28138
1.9046,0.28623
1.8959,0.29109
1.9084,0.29594
1.8991,0.30079
1.8985,0.30564
1.8971,0.31049
1.9229,0.31534
1.9041,0.32019
1.9444,0.32505
1.9554,0.3299
1.9454,0.33475
1.9114,0.3396
1.9244,0.34445
1.9211,0.3493
1.9163,0.35415
1.9006,0.35901
1.8961,0.36386
1.8985,0.36871
1.8906,0.37356
1.8733,0.37841
1.8744,0.38326
1.8831,0.38811
1.9064,0.39297
1.956,0.39782
2.0318,0.40267
2.053,0.40752
2.1541,0.41237
2.1742,0.41722
2.2071,0.42207
2.2361,0.42693
2.3167,0.43178
2.3069,0.43663
2.3397,0.44148
2.3549,0.44633
2.3729,0.45118
2.3826,0.45603
2.375,0.46089
2.3671,0.46574
2.3731,0.47059
2.3582,0.47544
2.3756,0.48029
2.3696,0.48514
2.3586,0.48999
2.3545,0.49485
2.3254,0.4997
2.3323,0.50455
2.3479,0.5094
2.3484,0.51425
2.3691,0.5191
2.3719,0.52395
2.3695,0.52881
2.3723,0.53366
2.3796,0.53851
2.3779,0.54336
2.4005,0.54821
2.395,0.55306
2.3862,0.55791
2.3736,0.56277
2.3715,0.56762
2.3782,0.57247
2.3739,0.57732
2.3767,0.58217
2.3371,0.58702
2.3275,0.59187
2.3286,0.59673
2.3389,0.60158
2.2989,0.60643
2.3111,0.61128
2.2905,0.61613
2.2803,0.62098
2.2746,0.62583
2.2575,0.63069
2.2561,0.63554
2.2612,0.64039
2.2302,0.64524
2.2379,0.65009
2.2508,0.65494
2.2709,0.65979
2.2763,0.66465
2.2739,0.6695
2.2781,0.67435
2.2815,0.6792
2.29,0.68405
2.2851,0.6889
2.2921,0.69375
2.2935,0.69861
2.3725,0.70346
2.3902,0.70831
2.4607,0.71316
2.4601,0.71801
2.4728,0.72286
2.4695,0.72771
2.4799,0.73257
2.4745,0.73742
2.4581,0.74227
2.46,0.74712
2.4386,0.75197
2.4282,0.75682
2.4201,0.76167
2.4076,0.76653
2.401,0.77138
2.4003,0.77623
2.379,0.78108
