voltage, time
0.23463,0
0.227,0.0095885
0.22925,0.019177
0.2255,0.028765
0.227,0.038354
0.22375,0.047942
0.22537,0.057531
0.222,0.067119
0.22725,0.076708
0.22325,0.086296
0.22987,0.095885
0.22362,0.10547
0.21788,0.11506
0.22225,0.12465
0.22375,0.13424
0.22475,0.14383
0.21962,0.15342
0.21887,0.163
0.22287,0.17259
0.21438,0.18218
0.21962,0.19177
0.21788,0.20136
0.22025,0.21095
0.2135,0.22054
0.21863,0.23012
0.21663,0.23971
0.216,0.2493
0.2145,0.25889
0.21038,0.26848
0.21438,0.27807
0.21513,0.28765
0.21663,0.29724
0.21625,0.30683
0.20475,0.31642
0.21238,0.32601
0.2115,0.3356
0.21263,0.34519
0.20913,0.35477
0.21213,0.36436
0.21138,0.37395
0.214,0.38354
0.22937,0.39313
0.23362,0.40272
0.23,0.41231
0.23075,0.42189
0.21838,0.43148
0.21937,0.44107
0.20413,0.45066
0.28837,0.46025
0.29475,0.46984
0.29487,0.47942
0.29625,0.48901
0.29712,0.4986
0.294,0.50819
0.29563,0.51778
0.29387,0.52737
0.29575,0.53696
0.2895,0.54654
0.2915,0.55613
0.291,0.56572
0.29225,0.57531
0.29275,0.5849
0.29537,0.59449
0.28637,0.60408
0.29113,0.61366
0.29575,0.62325
0.28763,0.63284
0.296,0.64243
0.29525,0.65202
0.291,0.66161
0.29525,0.67119
0.29287,0.68078
0.29513,0.69037
0.29375,0.69996
0.29537,0.70955
0.29063,0.71914
0.2955,0.72873
0.28887,0.73831
0.29387,0.7479
0.29287,0.75749
0.29925,0.76708
0.28725,0.77667
0.29675,0.78626
0.28913,0.79584
0.29213,0.80543
0.29337,0.81502
0.29625,0.82461
0.2955,0.8342
0.29275,0.84379
0.29237,0.85338
0.29688,0.86296
0.29025,0.87255
0.2955,0.88214
0.29137,0.89173
0.29712,0.90132
0.293,0.91091
0.29225,0.9205
0.295,0.93008
0.2975,0.93967
0.289,0.94926
0.29725,0.95885
0.29275,0.96844
0.2955,0.97803
0.29287,0.98761
0.28975,0.9972
0.29812,1.0068
0.29175,1.0164
0.295,1.026
0.29337,1.0356
0.29263,1.0451
0.29788,1.0547
0.29487,1.0643
0.29,1.0739
0.29425,1.0835
0.2955,1.0931
0.29213,1.1027
0.293,1.1123
0.29513,1.1219
0.29788,1.1314
0.28963,1.141
0.29812,1.1506
0.292,1.1602
0.294,1.1698
0.293,1.1794
0.29163,1.189
0.29337,1.1986
0.2955,1.2082
0.29175,1.2177
0.2975,1.2273
0.294,1.2369
0.296,1.2465
0.29387,1.2561
0.29563,1.2657
0.29125,1.2753
0.2945,1.2849
0.29125,1.2944
0.29363,1.304
0.29113,1.3136
0.2925,1.3232
0.29113,1.3328
0.29313,1.3424
0.29163,1.352
0.29337,1.3616
0.29125,1.3712
0.29287,1.3807
0.29175,1.3903
0.29313,1.3999
0.29137,1.4095
0.2935,1.4191
0.29175,1.4287
0.293,1.4383
0.29163,1.4479
0.29337,1.4575
0.29125,1.467
0.29313,1.4766
0.29187,1.4862
0.29313,1.4958
0.29163,1.5054
0.29375,1.515
0.29163,1.5246
0.2935,1.5342
0.29137,1.5437
0.293,1.5533
0.2915,1.5629
0.293,1.5725
0.29175,1.5821
0.29363,1.5917
0.29175,1.6013
0.29387,1.6109
0.29163,1.6205
0.29287,1.63
0.29137,1.6396
0.29325,1.6492
0.29125,1.6588
0.2935,1.6684
0.29063,1.678
0.2925,1.6876
0.29325,1.6972
0.29812,1.7068
0.29413,1.7163
0.29663,1.7259
0.29525,1.7355
0.2965,1.7451
0.294,1.7547
0.29563,1.7643
0.293,1.7739
0.29537,1.7835
0.29363,1.793
0.2955,1.8026
0.2935,1.8122
0.29563,1.8218
0.294,1.8314
0.29663,1.841
0.29437,1.8506
0.29712,1.8602
0.29437,1.8698
0.29725,1.8793
0.29487,1.8889
0.29775,1.8985
0.295,1.9081
0.29712,1.9177
0.2955,1.9273
0.29762,1.9369
0.29513,1.9465
0.29725,1.9561
0.29525,1.9656
0.2985,1.9752
0.29563,1.9848
0.29888,1.9944
0.29587,2.004
0.2975,2.0136
0.296,2.0232
0.29825,2.0328
0.296,2.0423
0.2985,2.0519
0.29637,2.0615
0.29862,2.0711
0.29625,2.0807
0.29888,2.0903
0.29625,2.0999
0.2985,2.1095
0.29637,2.1191
0.30012,2.1286
0.2965,2.1382
0.29838,2.1478
0.29663,2.1574
0.29925,2.167
0.29663,2.1766
0.298,2.1862
0.29513,2.1958
0.29287,2.2054
0.29125,2.2149
0.29413,2.2245
0.29163,2.2341
0.29363,2.2437
0.292,2.2533
0.2945,2.2629
0.29187,2.2725
0.29387,2.2821
0.29263,2.2917
0.29525,2.3012
0.29213,2.3108
0.29463,2.3204
0.29425,2.33
0.29875,2.3396
0.29275,2.3492
0.29463,2.3588
0.29337,2.3684
0.29463,2.3779
0.29387,2.3875
0.29475,2.3971
0.29313,2.4067
0.29525,2.4163
0.294,2.4259
0.29575,2.4355
0.29287,2.4451
0.29437,2.4547
0.29275,2.4642
0.29463,2.4738
0.29313,2.4834
0.2955,2.493
0.29325,2.5026
0.295,2.5122
0.29363,2.5218
0.29513,2.5314
0.29313,2.541
0.296,2.5505
0.29337,2.5601
0.2955,2.5697
0.29375,2.5793
0.29613,2.5889
0.2935,2.5985
0.29575,2.6081
0.2935,2.6177
0.2955,2.6272
0.29363,2.6368
0.2965,2.6464
0.29363,2.656
0.29675,2.6656
0.29387,2.6752
0.29587,2.6848
0.29463,2.6944
0.29675,2.704
0.296,2.7135
0.298,2.7231
0.29387,2.7327
0.29413,2.7423
0.29287,2.7519
0.29587,2.7615
0.2935,2.7711
0.29587,2.7807
0.2935,2.7903
0.29625,2.7998
0.29325,2.8094
0.29587,2.819
0.29363,2.8286
0.29513,2.8382
0.29337,2.8478
0.29613,2.8574
0.29337,2.867
0.29563,2.8765
0.29287,2.8861
0.29537,2.8957
0.2935,2.9053
0.296,2.9149
0.29325,2.9245
0.297,2.9341
0.29363,2.9437
0.298,2.9533
0.29363,2.9628
0.29688,2.9724
0.29387,2.982
0.29712,2.9916
0.297,3.0012
0.29938,3.0108
0.296,3.0204
0.29875,3.03
0.29625,3.0396
0.29775,3.0491
0.29613,3.0587
0.2975,3.0683
0.29563,3.0779
0.29812,3.0875
0.2965,3.0971
0.2995,3.1067
0.2965,3.1163
0.29888,3.1258
0.29663,3.1354
0.30012,3.145
0.29675,3.1546
0.2995,3.1642
0.29738,3.1738
0.29938,3.1834
0.29712,3.193
0.29975,3.2026
0.297,3.2121
0.30025,3.2217
0.297,3.2313
0.30075,3.2409
0.29788,3.2505
0.2995,3.2601
0.29762,3.2697
0.3005,3.2793
0.29812,3.2889
0.30088,3.2984
0.29788,3.308
0.3025,3.3176
0.29788,3.3272
0.30312,3.3368
0.29838,3.3464
0.30238,3.356
0.29875,3.3656
0.3015,3.3751
0.298,3.3847
0.30062,3.3943
0.29788,3.4039
0.301,3.4135
0.29812,3.4231
0.30162,3.4327
0.29888,3.4423
0.30162,3.4519
0.29825,3.4614
0.3025,3.471
0.29825,3.4806
0.30388,3.4902
0.29825,3.4998
0.30112,3.5094
0.29888,3.519
0.30212,3.5286
0.30012,3.5382
0.30175,3.5477
0.29888,3.5573
0.3015,3.5669
0.29912,3.5765
0.30075,3.5861
0.29875,3.5957
0.30125,3.6053
0.29912,3.6149
0.303,3.6245
0.29962,3.634
0.30288,3.6436
0.3,3.6532
0.3035,3.6628
0.29988,3.6724
0.30338,3.682
0.30012,3.6916
0.30288,3.7012
0.30238,3.7107
0.30088,3.7203
0.30012,3.7299
0.3025,3.7395
0.3005,3.7491
0.30162,3.7587
0.3015,3.7683
0.30338,3.7779
0.30062,3.7875
0.30462,3.797
0.30162,3.8066
0.3045,3.8162
0.3005,3.8258
0.3035,3.8354
0.30062,3.845
0.30225,3.8546
0.30075,3.8642
0.305,3.8738
0.30075,3.8833
0.303,3.8929
0.30175,3.9025
0.30512,3.9121
0.30138,3.9217
0.30362,3.9313
0.30138,3.9409
0.305,3.9505
0.30125,3.96
0.30338,3.9696
0.3015,3.9792
0.30462,3.9888
0.30138,3.9984
0.30488,4.008
0.30138,4.0176
0.30662,4.0272
0.30162,4.0368
0.30625,4.0463
0.30188,4.0559
0.30388,4.0655
0.3025,4.0751
0.30438,4.0847
0.3025,4.0943
0.30412,4.1039
0.303,4.1135
0.30475,4.1231
0.30238,4.1326
0.307,4.1422
0.30288,4.1518
0.307,4.1614
0.30262,4.171
0.3045,4.1806
0.3025,4.1902
0.30512,4.1998
0.30425,4.2093
0.3055,4.2189
0.30275,4.2285
0.30488,4.2381
0.30288,4.2477
0.3065,4.2573
0.30262,4.2669
0.30438,4.2765
0.30488,4.2861
0.306,4.2956
0.30375,4.3052
0.30625,4.3148
0.30238,4.3244
0.30688,4.334
0.30325,4.3436
0.30775,4.3532
0.30462,4.3628
0.30738,4.3724
